Term code,Term,Course number,Course title,Course section number,Instruction mode,Total enrollment
904,Spring 1990,SPAC22458,Space Navigation,SPAC22458_1,In-Person,147
906,Summer 1990,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,1
906,Summer 1990,SPAC22458,Space Navigation,SPAC22458_2,In-Person,49
908,Fall 1990,SPAC22458,Space Navigation,SPAC22458_1,In-Person,23
914,Spring 1991,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
914,Spring 1991,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
916,Summer 1991,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
916,Summer 1991,SPAC22458,Space Navigation,SPAC22458_2,In-Person,54
918,Fall 1991,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
918,Fall 1991,SPAC22458,Space Navigation,SPAC22458_2,In-Person,118
918,Fall 1991,SPAC22458,Space Navigation,SPAC22458_3,In-Person,48
924,Spring 1992,SPAC22458,Space Navigation,SPAC22458_1,In-Person,60
924,Spring 1992,SPAC22458,Space Navigation,SPAC22458_2,Independent Studies,1
926,Summer 1992,SPAC22458,Space Navigation,SPAC22458_1,In-Person,43
926,Summer 1992,SPAC22458,Space Navigation,SPAC22458_2,Online Hybrid,1
928,Fall 1992,SPAC22458,Space Navigation,SPAC22458_1,Online,1
934,Spring 1993,SPAC22458,Space Navigation,SPAC22458_1,Blended (Online & In-Person),1
936,Summer 1993,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,116
936,Summer 1993,SPAC22458,Space Navigation,SPAC22458_2,Online,56
936,Summer 1993,SPAC22458,Space Navigation,SPAC22458_3,In-Person,14
938,Fall 1993,SPAC22458,Space Navigation,SPAC22458_1,In-Person,91
944,Spring 1994,SPAC22458,Space Navigation,SPAC22458_1,In-Person,4
944,Spring 1994,SPAC22458,Space Navigation,SPAC22458_2,In-Person,17
946,Summer 1994,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
946,Summer 1994,SPAC22458,Space Navigation,SPAC22458_2,Online,10
948,Fall 1994,SPAC22458,Space Navigation,SPAC22458_1,Online,44
948,Fall 1994,SPAC22458,Space Navigation,SPAC22458_2,Online,1
948,Fall 1994,SPAC22458,Space Navigation,SPAC22458_3,Blended (Online & In-Person),181
954,Spring 1995,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
954,Spring 1995,SPAC22458,Space Navigation,SPAC22458_2,In-Person,110
954,Spring 1995,SPAC22458,Space Navigation,SPAC22458_3,In-Person,66
956,Summer 1995,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
958,Fall 1995,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,1
964,Spring 1996,SPAC22458,Space Navigation,SPAC22458_1,In-Person,47
966,Summer 1996,SPAC22458,Space Navigation,SPAC22458_1,In-Person,220
968,Fall 1996,SPAC22458,Space Navigation,SPAC22458_1,Online,152
974,Spring 1997,SPAC22458,Space Navigation,SPAC22458_1,In-Person,26
974,Spring 1997,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
974,Spring 1997,SPAC22458,Space Navigation,SPAC22458_3,In-Person,5
976,Summer 1997,SPAC22458,Space Navigation,SPAC22458_1,Online Hybrid,3
978,Fall 1997,SPAC22458,Space Navigation,SPAC22458_1,Online,1
978,Fall 1997,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
978,Fall 1997,SPAC22458,Space Navigation,SPAC22458_3,Independent Studies,1
984,Spring 1998,SPAC22458,Space Navigation,SPAC22458_1,Independent Studies,1
984,Spring 1998,SPAC22458,Space Navigation,SPAC22458_2,In-Person,1
986,Summer 1998,SPAC22458,Space Navigation,SPAC22458_1,In-Person,47
986,Summer 1998,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),1
986,Summer 1998,SPAC22458,Space Navigation,SPAC22458_3,In-Person,37
988,Fall 1998,SPAC22458,Space Navigation,SPAC22458_1,In-Person,1
988,Fall 1998,SPAC22458,Space Navigation,SPAC22458_2,Blended (Online & In-Person),3
994,Spring 1999,SPAC22458,Space Navigation,SPAC22458_1,In-Person,150
