Fake ID,Term code,Term,Course section number,Grade,Units taken,Units earned,# of terms enrolled at time of course
0,1114,Spring 2011,GALA46496_2,A,3,3,1
0,1114,Spring 2011,ASTR48370_1,B,3,3,1
0,1114,Spring 2011,EXOP56809_1,A,3,3,1
0,1114,Spring 2011,SPAC75780_1,D+,3,3,1
0,1116,Summer 2011,ASTR35756_1,B-,3,3,2
0,1118,Fall 2011,ASTR41081_1,B,3,3,3
0,1118,Fall 2011,QUAN26259_3,A,3,3,3
0,1118,Fall 2011,INTE86240_2,F,3,0,3
0,1124,Spring 2012,ASTR73455_2,A,3,3,5
0,1124,Spring 2012,STEL97614_2,C-,3,3,5
0,1124,Spring 2012,SEAR80627_1,W,3,0,5
0,1124,Spring 2012,GALA70070_1,F,3,0,5
0,1124,Spring 2012,EXOP74254_2,B,3,3,5
0,1126,Summer 2012,EXTR79506_2,F,3,0,6
0,1128,Fall 2012,GALA70070_3,F,3,0,7
0,1128,Fall 2012,INTE10915_3,B,3,3,7
0,1134,Spring 2013,EXTR79506_3,B-,3,3,9
0,1134,Spring 2013,ALIE11853_2,B,3,3,9
0,1134,Spring 2013,MILK50696_1,B,3,3,9
0,1134,Spring 2013,HYPE24629_2,C,3,3,9
0,1134,Spring 2013,INTE86240_2,W,3,0,9
0,1188,Fall 2018,ASTR73455_2,A,3,3,1
0,1188,Fall 2018,STAR99539_3,C-,3,3,1
0,1188,Fall 2018,ORIG96662_2,A-,3,3,1
0,1188,Fall 2018,EXOP74254_1,D,3,3,1
0,1194,Spring 2019,BLAC49063_1,D+,3,3,3
0,1194,Spring 2019,EXTR79506_2,W,3,0,3
0,1194,Spring 2019,ALIE11853_1,C+,3,3,3
0,1196,Summer 2019,GALA13196_1,A,3,3,4
0,1198,Fall 2019,INTE10915_2,F,3,0,5
0,1198,Fall 2019,DARK18849_2,B,3,3,5
0,1198,Fall 2019,QUAN26259_1,A,3,3,5
0,1198,Fall 2019,COSM92852_3,A-,3,3,5
0,1198,Fall 2019,GALA46496_1,W,3,0,5
1,1208,Fall 2020,GALA13196_2,D+,3,3,1
1,1208,Fall 2020,MILK71096_1,A,3,3,1
1,1208,Fall 2020,ORIG68077_2,C,3,3,1
1,1208,Fall 2020,HYPE24629_1,B-,3,3,1
2,1118,Fall 2011,INTE93415_2,D,3,3,1
2,1118,Fall 2011,INTE86240_1,A,3,3,1
2,1118,Fall 2011,SPAC90791_1,F,3,0,1
2,1118,Fall 2011,ORIG68077_1,B,3,3,1
2,1124,Spring 2012,GALA66884_1,B,3,3,3
2,1124,Spring 2012,EXTR79506_1,C-,3,3,3
2,1124,Spring 2012,SPAC75780_2,D,3,3,3
2,1126,Summer 2012,EXOP31959_1,B,3,3,4
2,1128,Fall 2012,ASTR35756_2,W,3,0,5
2,1128,Fall 2012,QUAN26259_3,C,3,3,5
2,1128,Fall 2012,DARK86226_1,F,3,0,5
2,1128,Fall 2012,SPAC22458_2,F,3,0,5
2,1134,Spring 2013,ALIE74993_1,D,3,3,7
2,1134,Spring 2013,INTE94952_1,A,3,3,7
2,1134,Spring 2013,STAR99539_1,B,3,3,7
2,1134,Spring 2013,STEL18167_1,W,3,0,7
