Fake ID,Academic plan code,Academic plan,Degree,Career number,Admit term code,Admit term,Total transferred units,Start effective term code,Start effective term,Completion term code,End effective term code,Semesters,Degree awarded
0,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1114,Spring 2011,59,1114,Spring 2011,1138,1138,10,AA
0,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1188,Fall 2018,49,1188,Fall 2018,1202,1202,5,AAS
1,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1208,Fall 2020,3,1208,Fall 2020,1214,1214,2,AA
2,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1118,Fall 2011,39,1118,Fall 2011,1182,1182,25,BS
2,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),2,1128,Fall 2012,43,1128,Fall 2012,1158,1158,12,
2,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),3,1138,Fall 2013,42,1138,Fall 2013,1154,1154,6,BA
3,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1226,Summer 2022,4,1226,Summer 2022,1252,1252,10,AAS
3,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1044,Spring 2004,0,1044,Spring 2004,1048,1048,2,
3,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),3,1218,Fall 2021,58,1218,Fall 2021,1256,1256,15,
4,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1178,Fall 2017,17,1178,Fall 2017,1244,1244,26,BA
5,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1208,Fall 2020,57,1208,Fall 2020,1228,1228,8,
6,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1158,Fall 2015,7,1158,Fall 2015,1172,1172,5,BS
6,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1224,Spring 2022,28,1224,Spring 2022,1232,1232,3,
6,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1184,Spring 2018,0,1184,Spring 2018,1226,1226,17,BS
7,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1046,Summer 2004,54,1046,Summer 2004,1072,1072,10,AAS
7,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1168,Fall 2016,0,1168,Fall 2016,1214,1214,18,
8,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1098,Fall 2009,0,1098,Fall 2009,1106,1106,3,AAS
9,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1178,Fall 2017,61,1178,Fall 2017,1184,1184,2,
10,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1014,Spring 2001,4,1014,Spring 2001,1052,1052,15,
11,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1134,Spring 2013,67,1134,Spring 2013,1172,1172,15,
11,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1094,Spring 2009,0,1094,Spring 2009,1146,1146,21,
11,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),3,1188,Fall 2018,40,1188,Fall 2018,1246,1246,23,BS
12,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1218,Fall 2021,84,1218,Fall 2021,1226,1226,3,AAS
12,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1206,Summer 2020,33,1206,Summer 2020,1214,1214,3,BA
13,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1094,Spring 2009,0,1094,Spring 2009,1096,1096,1,AAS
14,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1146,Summer 2014,62,1146,Summer 2014,1176,1176,12,
14,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1158,Fall 2015,16,1158,Fall 2015,1184,1184,10,
15,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1156,Summer 2015,34,1156,Summer 2015,1198,1198,17,BS
15,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1196,Summer 2019,7,1196,Summer 2019,1206,1206,4,AA
15,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,928,Fall 1992,38,928,Fall 1992,938,938,4,
16,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1164,Spring 2016,3,1164,Spring 2016,1208,1208,18,
16,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1158,Fall 2015,14,1158,Fall 2015,1178,1178,8,AA
16,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),3,1076,Summer 2007,41,1076,Summer 2007,1114,1114,15,BS
17,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1208,Fall 2020,39,1208,Fall 2020,1238,1238,12,
17,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,1134,Spring 2013,39,1134,Spring 2013,1198,1198,26,
18,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,954,Spring 1995,0,954,Spring 1995,976,976,9,
18,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1138,Fall 2013,37,1138,Fall 2013,1162,1162,9,BA
18,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),3,1194,Spring 2019,39,1194,Spring 2019,1206,1206,5,AAS
19,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1158,Fall 2015,0,1158,Fall 2015,1174,1174,6,AAS
19,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1126,Summer 2012,18,1126,Summer 2012,1134,1134,3,AA
20,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1126,Summer 2012,6,1126,Summer 2012,1158,1158,13,AA
20,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),2,998,Fall 1999,0,998,Fall 1999,1026,1026,11,AA
20,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),3,1144,Spring 2014,41,1144,Spring 2014,1164,1164,8,BS
21,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1148,Fall 2014,25,1148,Fall 2014,1176,1176,11,
21,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,908,Fall 1990,81,908,Fall 1990,942,942,13,
22,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),1,1168,Fall 2016,0,1168,Fall 2016,1188,1188,8,
23,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1124,Spring 2012,22,1124,Spring 2012,1154,1154,12,
23,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1144,Spring 2014,25,1144,Spring 2014,1166,1166,9,
23,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),3,974,Spring 1997,41,974,Spring 1997,1012,1012,15,
24,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1224,Spring 2022,15,1224,Spring 2022,1256,1256,13,
24,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1148,Fall 2014,6,1148,Fall 2014,1178,1178,12,
25,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1226,Summer 2022,0,1226,Summer 2022,1254,1254,11,AA
25,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,1148,Fall 2014,9,1148,Fall 2014,1162,1162,5,AAS
25,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),3,1024,Spring 2002,24,1024,Spring 2002,1084,1084,24,BS
26,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1158,Fall 2015,35,1158,Fall 2015,1214,1214,22,
26,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,968,Fall 1996,0,968,Fall 1996,1008,1008,16,BA
26,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),3,1174,Spring 2017,48,1174,Spring 2017,1218,1218,18,BS
27,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1146,Summer 2014,39,1146,Summer 2014,1164,1164,7,AA
27,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1064,Spring 2006,0,1064,Spring 2006,1094,1094,12,AAS
27,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),3,928,Fall 1992,0,928,Fall 1992,994,994,26,BA
28,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1178,Fall 2017,25,1178,Fall 2017,1222,1222,17,BA
