Fake ID,Term code,Term,Academic plan code,Academic plan,Term GPA,Cumulative GPA,Academic load,Attempted units,Earned units,Total cumulative units,Program status
0,1116,Summer 2011,ASSINTRELS,A.A. of Interspecies Relations,3.075,12.3,Full-time,12,12,3,Active in Program
0,1118,Fall 2011,ASSINTRELS,A.A. of Interspecies Relations,2.7,7.5,Full-time,3,3,6,Active in Program
0,1122,January 2012,ASSINTRELS,A.A. of Interspecies Relations,2.333333333,7.333333333,Full-time,9,6,9,Active in Program
0,1124,Spring 2012,ASSINTRELS,A.A. of Interspecies Relations,0,5.5,Full-time,0,0,12,Active in Program
0,1126,Summer 2012,ASSINTRELS,A.A. of Interspecies Relations,2.175,6.14,Full-time,15,9,15,Active in Program
0,1128,Fall 2012,ASSINTRELS,A.A. of Interspecies Relations,0,5.116666667,Full-time,3,0,18,Active in Program
0,1132,January 2013,ASSINTRELS,A.A. of Interspecies Relations,1.5,4.814285714,Full-time,6,3,21,Active in Program
0,1134,Spring 2013,ASSINTRELS,A.A. of Interspecies Relations,0,4.2125,Full-time,0,0,24,Active in Program
0,1136,Summer 2013,ASSINTRELS,A.A. of Interspecies Relations,2.675,4.933333333,Full-time,15,12,27,Active in Program
0,1138,Fall 2013,ASSINTRELS,A.A. of Interspecies Relations,0,4.44,Full-time,0,0,30,Active in Program
0,1192,January 2019,ASSALANGLS,A.A.S. of Alien Languages,2.6,10.4,Full-time,12,12,3,Active in Program
0,1194,Spring 2019,ASSALANGLS,A.A.S. of Alien Languages,0,5.2,Full-time,0,0,6,Active in Program
0,1196,Summer 2019,ASSALANGLS,A.A.S. of Alien Languages,1.8,4.666666667,Part-time,9,6,9,Active in Program
0,1198,Fall 2019,ASSALANGLS,A.A.S. of Alien Languages,4,4.5,Part-time,3,3,12,Active in Program
0,1202,January 2020,ASSALANGLS,A.A.S. of Alien Languages,2.675,5.74,Part-time,15,9,15,Active in Program
1,1212,January 2021,ASSINTBUSN,A.A. of Intergalactic Business,2.5,10,Full-time,12,12,3,Active in Program
1,1214,Spring 2021,ASSINTBUSN,A.A. of Intergalactic Business,0,5,Full-time,0,0,6,Active in Program
2,1122,January 2012,BALINTENSY,B.S. of Intergalactic Environmental Science,2,8,Full-time,12,9,3,Active in Program
2,1124,Spring 2012,BALINTENSY,B.S. of Intergalactic Environmental Science,0,4,Full-time,0,0,6,Active in Program
2,1126,Summer 2012,BALINTENSY,B.S. of Intergalactic Environmental Science,1.9,4.566666667,Part-time,9,9,9,Active in Program
2,1128,Fall 2012,BALINTENSY,B.S. of Intergalactic Environmental Science,3,4.175,Part-time,3,3,12,Active in Program
2,1132,January 2013,BALINTENSY,B.S. of Intergalactic Environmental Science,0.666666667,3.74,Part-time,12,3,15,Active in Program
2,1134,Spring 2013,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.116666667,Part-time,0,0,18,Active in Program
2,1136,Summer 2013,BALINTENSY,B.S. of Intergalactic Environmental Science,2.925,4.342857143,Full-time,15,12,21,Active in Program
2,1138,Fall 2013,BALINTENSY,B.S. of Intergalactic Environmental Science,1.5,4.175,Full-time,6,3,24,Active in Program
2,1142,January 2014,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.711111111,Full-time,0,0,27,Leave of Absence
2,1144,Spring 2014,BALINTENSY,B.S. of Intergalactic Environmental Science,0,3.34,Full-time,0,0,30,Leave of Absence
